case_id,页面ID,路径,主题,宽,高,实际视口,实际状态,截图,测量JSON,日志,状态,原因,配色依据,配色验收A17,配色证据
R01-light-1672,R01,/assets,light,1672,941,1672x941,默认已登录,evidence/user-pages-matrix/R01-assets-light-1672x941.png,evidence/user-pages-matrix/R01-assets-light-1672x941.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
R01-light-1440,R01,/assets,light,1440,900,1440x900,默认已登录,evidence/user-pages-matrix/R01-assets-light-1440x900.png,evidence/user-pages-matrix/R01-assets-light-1440x900.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
R01-light-1366,R01,/assets,light,1366,768,1366x768,默认已登录,evidence/user-pages-matrix/R01-assets-light-1366x768.png,evidence/user-pages-matrix/R01-assets-light-1366x768.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
R01-light-1024,R01,/assets,light,1024,768,1024x768,默认已登录,evidence/user-pages-matrix/R01-assets-light-1024x768.png,evidence/user-pages-matrix/R01-assets-light-1024x768.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
R01-light-768,R01,/assets,light,768,1024,768x1024,默认已登录,evidence/user-pages-matrix/R01-assets-light-768x1024.png,evidence/user-pages-matrix/R01-assets-light-768x1024.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
R01-light-390,R01,/assets,light,390,844,390x844,默认已登录,evidence/user-pages-matrix/R01-assets-light-390x844.png,evidence/user-pages-matrix/R01-assets-light-390x844.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
R01-light-430,R01,/assets,light,430,932,430x932,默认已登录,evidence/user-pages-matrix/R01-assets-light-430x932.png,evidence/user-pages-matrix/R01-assets-light-430x932.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
R01-dark-1672,R01,/assets,dark,1672,941,1672x941,默认已登录,evidence/user-pages-matrix/R01-assets-dark-1672x941.png,evidence/user-pages-matrix/R01-assets-dark-1672x941.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
R01-dark-1440,R01,/assets,dark,1440,900,1440x900,默认已登录,evidence/user-pages-matrix/R01-assets-dark-1440x900.png,evidence/user-pages-matrix/R01-assets-dark-1440x900.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
R01-dark-1366,R01,/assets,dark,1366,768,1366x768,默认已登录,evidence/user-pages-matrix/R01-assets-dark-1366x768.png,evidence/user-pages-matrix/R01-assets-dark-1366x768.json,evidence/after-full-e2e-live-finaldb-20260915.log,PASS,当前构建默认渲染状态已逐项取证；交互/有效/加载/失败/弹层/保存状态仍在页面验收矩阵中单独跟踪。,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-;route/theme/viewport
