素材相对路径,宽,高,模式,透明通道,内容bbox,SHA256,应用位置
ChatGPT Image 2026年9月8日 16_24_48 (3).png,1672,941,RGB,无Alpha,"0,0,1672,941",f5e722c090aec75b9c4035dae10e6d04896d1bc76f028a092bcaca48ee8c116e,后台总览布局与信息层级
ChatGPT Image 2026年9月8日 20_34_05 (2).png,2172,724,RGBA,有Alpha,"0,55,2172,628",15e9cc20ff121016d9bb9c7988ee9d9c2c3f8a9c5aa018911008b3b1f217bb8b,后台全局头部：搜索与操作栏
ChatGPT Image 2026年9月8日 20_34_05 (3).png,2172,724,RGBA,有Alpha,"0,29,2172,700",65b115921995c84ff61227fef82111c7047679765190e9475dcf4db513718836,后台总览：KPI 指标卡
ChatGPT Image 2026年9月8日 20_34_05 (4).png,1448,1086,RGBA,有Alpha,"0,175,1404,913",1fa797f2ceac63156297537f5e53fe1814b746e303a771453644f0d16ce1b6fc,后台总览：调用趋势图
ChatGPT Image 2026年9月8日 20_34_05 (7).png,1448,1086,RGBA,有Alpha,"0,21,1448,1060",180bf2b266d9fd5d2cc4f2e01c03b3873772adcd3ceb3ee37b004a35ed9f2c30,后台用户运营：用户/权限表格
ChatGPT Image 2026年9月8日 20_34_05 (8).png,1254,1254,RGBA,有Alpha,"0,210,1190,1222",a9d9769450683905cfa5d894fc6ed74a5f134698c34a75d3757107b519226cbf,后台财务管理：计费/配额卡
ChatGPT Image 2026年9月8日 20_34_06 (9).png,1122,1402,RGBA,有Alpha,"33,27,1121,1313",21922d918cd0ba5429cc8e256eaac5cbe8ac9bbdd5643347fa0e084c9b653eab,后台内容/上游：插件中心
ChatGPT Image 2026年9月8日 20_34_07 (10).png,1448,1086,RGBA,有Alpha,"0,98,1436,989",e2fe09bb1919754f61c50f9c3c94609ea6d2261fac45c58f9cfa7365e2745e47,后台上游配置：API 访问设置
任务列表.png,1122,1402,RGBA,有Alpha,"0,75,1122,1370",ec743e432c513eff51509d15db76ed3c81b5b5097b639bfd3ec738c3cef74546,后台总览与生成运维：真实生成任务队列、筛选、进度语义
左侧导航栏.png,724,2172,RGBA,有Alpha,"49,0,680,2146",7fe008ceaff47134700aec91661bee566241fe51e1ac30b3ee9ad875b2b99db4,后台全局导航：Logo、控制台选中态、职责分组、底部品牌卡
按钮/ChatGPT Image 2026年9月8日 22_19_42 (1).png,2172,724,RGBA,有Alpha,"498,19,2053,698",04a3fb7d4b9ad990a66dba013c3d10fef549bb89962ba4544f7293ce4d72c31f,共享后台按钮：主/次/幽灵/危险/添加/创建/禁用/加载；以C01 CSS承载动态文案，原图仅作视觉基准
按钮/ChatGPT Image 2026年9月8日 22_19_43 (2).png,2172,724,RGBA,有Alpha,"600,120,1569,698",cdb12052ba5910a8200e368e7d401aa98774d96de9dbbacce160e14ec9188e11,共享后台按钮：主/次/幽灵/危险/添加/创建/禁用/加载；以C01 CSS承载动态文案，原图仅作视觉基准
按钮/ChatGPT Image 2026年9月8日 22_19_44 (3).png,2172,724,RGBA,有Alpha,"596,122,1577,528",03862240008f7681828672187a47959cfb3412b6d83b4c446d3a0aba1bc8e621,共享后台按钮：主/次/幽灵/危险/添加/创建/禁用/加载；以C01 CSS承载动态文案，原图仅作视觉基准
按钮/ChatGPT Image 2026年9月8日 22_19_45 (4).png,2172,724,RGBA,有Alpha,"449,9,1876,700",d0db475cb4006efcaa2e52e9cda73e1bfdf0f305dc9a8b3ac444a69456e57fc3,共享后台按钮：主/次/幽灵/危险/添加/创建/禁用/加载；以C01 CSS承载动态文案，原图仅作视觉基准
按钮/ChatGPT Image 2026年9月8日 22_19_46 (5).png,1254,1254,RGBA,有Alpha,"97,206,1039,1212",ccda5f21f0355be17ba692d7d01d0a2bd91d7dd9361c03ea1f9f5832467158bb,共享后台按钮：主/次/幽灵/危险/添加/创建/禁用/加载；以C01 CSS承载动态文案，原图仅作视觉基准
按钮/ChatGPT Image 2026年9月8日 22_19_47 (6).png,2172,724,RGBA,有Alpha,"561,168,1927,698",9b2482337eb1ad76abee225198e808da90784ded5c34a06e2d985e1a046d9879,共享后台按钮：主/次/幽灵/危险/添加/创建/禁用/加载；以C01 CSS承载动态文案，原图仅作视觉基准
按钮/ChatGPT Image 2026年9月8日 22_19_48 (7).png,2172,724,RGBA,有Alpha,"628,21,1543,501",1b4fc45f12370f199f7b9c5b53336c649303c3d1ea5f99d71f8294d203b2d521,共享后台按钮：主/次/幽灵/危险/添加/创建/禁用/加载；以C01 CSS承载动态文案，原图仅作视觉基准
按钮/ChatGPT Image 2026年9月8日 22_19_49 (8).png,2172,724,RGBA,有Alpha,"388,41,2023,708",05ef85f89cb26107c2c34ef0776d9107573a1ec7399b6f4f03e62f1477d8da85,共享后台按钮：主/次/幽灵/危险/添加/创建/禁用/加载；以C01 CSS承载动态文案，原图仅作视觉基准
模型状态列表.png,1122,1402,RGBA,有Alpha,"0,30,1122,1376",158ab02c40dbd8c74dc15118fbff6c6e3ba901d4b5b03bc3c57db279cfafd880,后台总览与生成运维：真实渠道/逻辑模型状态行
组件/ChatGPT Image 2026年9月8日 21_05_07 (3).png,1448,1086,RGBA,有Alpha,"0,54,1445,1029",d7f9d32270fa4dfd7f49201a8bca1b98e662a96b53530c0d42ceda4438547c93,后台列表模板：筛选栏、表格工具栏、分页、行操作菜单
组件/ChatGPT Image 2026年9月8日 21_05_07 (4).png,1448,1086,RGBA,有Alpha,"81,23,1048,1029",3a41bcbb426a89aef7ec050653db5c26c1add37aa6d77d788d80f4f0a3181fef,后台列表模板：筛选栏、表格工具栏、分页、行操作菜单
组件/筛选筛选栏.png,1448,1086,RGBA,有Alpha,"0,53,1448,1029",5c2e5aa0952b3131ceb02fbb27dce1392f71d63151077fa340db3e73a74126c2,后台列表模板：筛选栏、表格工具栏、分页、行操作菜单
组件/表格工具栏.png,1448,1086,RGBA,有Alpha,"0,52,1448,1046",04318ab451bcbcad4de20b31ce1a1f9534065e90cf3bfb8b28a6597b1a49c889,后台列表模板：筛选栏、表格工具栏、分页、行操作菜单
