id,source,meaning,group,width,height,mode,alphaRange,animated,bytes,routes,code,use,note,sha256,sourceAbsolute,V2分类,V2产物路径,V2实际显示尺寸,V2证据,V2状态
A001,LOGO品牌设计板.png,Logo 品牌总设计板,.,1672,941,RGB,,False,1332131,全站品牌与状态体系,web/src/lib/app-theme.ts；web/src/components/layout/site-logo.tsx,规范或总览：不作为整页图片上线,用于提取样式与语义；板中示例功能不自动进入本次开发范围。,639eb710fe78fee5df5720bdf74cc0c4295f27b51ac8a55ef47adb1f07eef8e5,/Users/dream/Desktop/Vibe Coding/PythonProject/Octal-Canvas/全新UI设计/LOGO品牌设计板.png,待确认采用/派生/设计参考/不适用,,,,TODO
A002,LOGO类/ChatGPT Image 2026年9月8日 14_11_52 (3).png,白底横版 Logo 展示,LOGO类,1672,941,RGB,,False,750682,首页、登录、侧栏、助手身份、Favicon、文档站,web/src/components/layout/site-logo.tsx；web/src/app/layout.tsx；web/src/app/manifest.ts；web/public/brand/；docs/public/brand/,场景或排版参考：含底板/标题/文字，优先使用对应独立素材重建,不将示例域名、固定角标、虚构作品或英文标签直接发布。,5478476cf9176cd4b5275554b238ecd6fa0703ba58f2fc168642425ddb1faa56,/Users/dream/Desktop/Vibe Coding/PythonProject/Octal-Canvas/全新UI设计/LOGO类/ChatGPT Image 2026年9月8日 14_11_52 (3).png,待确认采用/派生/设计参考/不适用,,,,TODO
A003,LOGO类/ChatGPT Image 2026年9月8日 14_11_53 (4).png,深底竖版 Logo 展示,LOGO类,1672,941,RGB,,False,1150898,首页、登录、侧栏、助手身份、Favicon、文档站,web/src/components/layout/site-logo.tsx；web/src/app/layout.tsx；web/src/app/manifest.ts；web/public/brand/；docs/public/brand/,场景或排版参考：含底板/标题/文字，优先使用对应独立素材重建,不将示例域名、固定角标、虚构作品或英文标签直接发布。,ccbfc629526d33077c67c0664c0816c0f10b7afa902a9b54f6417fbb9769dd81,/Users/dream/Desktop/Vibe Coding/PythonProject/Octal-Canvas/全新UI设计/LOGO类/ChatGPT Image 2026年9月8日 14_11_53 (4).png,待确认采用/派生/设计参考/不适用,,,,TODO
A004,LOGO类/ChatGPT Image 2026年9月8日 14_11_53 (5).png,浅色 App 图标场景,LOGO类,1254,1254,RGB,,False,1163921,首页、登录、侧栏、助手身份、Favicon、文档站,web/src/components/layout/site-logo.tsx；web/src/app/layout.tsx；web/src/app/manifest.ts；web/public/brand/；docs/public/brand/,场景或排版参考：含底板/标题/文字，优先使用对应独立素材重建,不将示例域名、固定角标、虚构作品或英文标签直接发布。,aa5f430b9daa7732b312f3f34090831735af6265108666672d6caf1f29056f8b,/Users/dream/Desktop/Vibe Coding/PythonProject/Octal-Canvas/全新UI设计/LOGO类/ChatGPT Image 2026年9月8日 14_11_53 (5).png,待确认采用/派生/设计参考/不适用,,,,TODO
A005,LOGO类/ChatGPT Image 2026年9月8日 14_11_54 (6).png,深色 App 图标场景,LOGO类,1254,1254,RGB,,False,1214666,首页、登录、侧栏、助手身份、Favicon、文档站,web/src/components/layout/site-logo.tsx；web/src/app/layout.tsx；web/src/app/manifest.ts；web/public/brand/；docs/public/brand/,场景或排版参考：含底板/标题/文字，优先使用对应独立素材重建,不将示例域名、固定角标、虚构作品或英文标签直接发布。,46d8e55c26cbd7b8b4af714df14d9bd23a52208f201691228266afce935d88d3,/Users/dream/Desktop/Vibe Coding/PythonProject/Octal-Canvas/全新UI设计/LOGO类/ChatGPT Image 2026年9月8日 14_11_54 (6).png,待确认采用/派生/设计参考/不适用,,,,TODO
A006,LOGO类/ChatGPT Image 2026年9月8日 14_11_54 (7).png,固定数字角标示意,LOGO类,1254,1254,RGB,,False,942763,首页、登录、侧栏、助手身份、Favicon、文档站,web/src/components/layout/site-logo.tsx；web/src/app/layout.tsx；web/src/app/manifest.ts；web/public/brand/；docs/public/brand/,场景或排版参考：含底板/标题/文字，优先使用对应独立素材重建,不将示例域名、固定角标、虚构作品或英文标签直接发布。,07da51f9569799b70818d608dd54587a6f6e2f62f582841c54ce4b40d5aedf44,/Users/dream/Desktop/Vibe Coding/PythonProject/Octal-Canvas/全新UI设计/LOGO类/ChatGPT Image 2026年9月8日 14_11_54 (7).png,待确认采用/派生/设计参考/不适用,,,,TODO
A007,LOGO类/ChatGPT Image 2026年9月8日 14_11_55 (8).png,多尺寸图标排版示意,LOGO类,1672,941,RGB,,False,903338,首页、登录、侧栏、助手身份、Favicon、文档站,web/src/components/layout/site-logo.tsx；web/src/app/layout.tsx；web/src/app/manifest.ts；web/public/brand/；docs/public/brand/,场景或排版参考：含底板/标题/文字，优先使用对应独立素材重建,不将示例域名、固定角标、虚构作品或英文标签直接发布。,b6f4c08faf0724ff239c72900a4743108d7f22dd3f3fc653124d66fe9a9c4cfa,/Users/dream/Desktop/Vibe Coding/PythonProject/Octal-Canvas/全新UI设计/LOGO类/ChatGPT Image 2026年9月8日 14_11_55 (8).png,待确认采用/派生/设计参考/不适用,,,,TODO
A008,LOGO类/ChatGPT Image 2026年9月8日 14_11_56 (10).png,圆形头像场景,LOGO类,1254,1254,RGB,,False,1233385,首页、登录、侧栏、助手身份、Favicon、文档站,web/src/components/layout/site-logo.tsx；web/src/app/layout.tsx；web/src/app/manifest.ts；web/public/brand/；docs/public/brand/,场景或排版参考：含底板/标题/文字，优先使用对应独立素材重建,不将示例域名、固定角标、虚构作品或英文标签直接发布。,1c3efb85e5919e8006c9ae25a24544a01430a822574d1a0785d57d1fccb72b18,/Users/dream/Desktop/Vibe Coding/PythonProject/Octal-Canvas/全新UI设计/LOGO类/ChatGPT Image 2026年9月8日 14_11_56 (10).png,待确认采用/派生/设计参考/不适用,,,,TODO
A009,LOGO类/ChatGPT Image 2026年9月8日 14_11_56 (9).png,浅色竖版 Logo 展示,LOGO类,1254,1254,RGB,,False,819483,首页、登录、侧栏、助手身份、Favicon、文档站,web/src/components/layout/site-logo.tsx；web/src/app/layout.tsx；web/src/app/manifest.ts；web/public/brand/；docs/public/brand/,场景或排版参考：含底板/标题/文字，优先使用对应独立素材重建,不将示例域名、固定角标、虚构作品或英文标签直接发布。,4c9867d0156aad167568bff7d45b13c1ab6f64966431f3aa2a4eddf97f062385,/Users/dream/Desktop/Vibe Coding/PythonProject/Octal-Canvas/全新UI设计/LOGO类/ChatGPT Image 2026年9月8日 14_11_56 (9).png,待确认采用/派生/设计参考/不适用,,,,TODO
A010,LOGO类/ChatGPT Image 2026年9月8日 14_14_46 (1).png,独立图形含高光,LOGO类,1254,1254,RGBA,"[0, 255]",False,679422,首页、登录、侧栏、助手身份、Favicon、文档站,web/src/components/layout/site-logo.tsx；web/src/app/layout.tsx；web/src/app/manifest.ts；web/public/brand/；docs/public/brand/,独立素材候选：统一命名、透明边缘与小尺寸检查后按需导出,保留原始母图；生产版本只加载实际所需尺寸，图像不可替代真实状态文案。,d777b7d6da75c7029407b80de4fc41ee90f19b997cdc6ddf0518f35f8f707e36,/Users/dream/Desktop/Vibe Coding/PythonProject/Octal-Canvas/全新UI设计/LOGO类/ChatGPT Image 2026年9月8日 14_14_46 (1).png,待确认采用/派生/设计参考/不适用,,,,TODO
