ID,路径,源码入口,身份/分组,执行卡,必测状态,document.title实际值,主要标题实际值,重定向/不适用说明,状态,证据,默认页面标题期望,主要标题期望规则,配色依据,配色验收A17,配色证据
R01,/assets,web/src/app/(user)/assets/page.tsx,登录用户,T15,默认/输入或筛选/弹层/有效数据/空/加载/失败（按实际功能）,资产库 | dreamyo,我的素材,,IN_PROGRESS,evidence/user-pages-matrix/R01-assets-light-1672x941.png; evidence/user-pages-matrix/R01-assets-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,资产库 | dreamyo,按业务页面或fixture实体标题；不得混入旧品牌/UUID，动态页记录fixture值,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
R02,/billing/cancel,web/src/app/(user)/billing/cancel/page.tsx,登录用户,T15,默认/输入或筛选/弹层/有效数据/空/加载/失败（按实际功能）,支付取消 | dreamyo,支付已取消,,IN_PROGRESS,evidence/user-pages-matrix/R02-billing-cancel-light-1672x941.png; evidence/user-pages-matrix/R02-billing-cancel-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,支付取消 | dreamyo,按业务页面或fixture实体标题；不得混入旧品牌/UUID，动态页记录fixture值,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
R03,/billing/checkout,web/src/app/(user)/billing/checkout/page.tsx,登录用户,T15,默认/输入或筛选/弹层/有效数据/空/加载/失败（按实际功能）,支付结算 | dreamyo,,,IN_PROGRESS,evidence/user-pages-matrix/R03-billing-checkout-light-1672x941.png; evidence/user-pages-matrix/R03-billing-checkout-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,支付结算 | dreamyo,按业务页面或fixture实体标题；不得混入旧品牌/UUID，动态页记录fixture值,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
R04,/billing,web/src/app/(user)/billing/page.tsx,登录用户,T15,默认/输入或筛选/弹层/有效数据/空/加载/失败（按实际功能）,个人资料 | dreamyo,个人中心,,IN_PROGRESS,evidence/user-pages-matrix/R04-billing-light-1672x941.png; evidence/user-pages-matrix/R04-billing-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,账单中心（若真实重定向则核目标） | dreamyo,按业务页面或fixture实体标题；不得混入旧品牌/UUID，动态页记录fixture值,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
R05,/billing/success,web/src/app/(user)/billing/success/page.tsx,登录用户,T15,默认/输入或筛选/弹层/有效数据/空/加载/失败（按实际功能）,支付完成 | dreamyo,支付结果确认中,,IN_PROGRESS,evidence/user-pages-matrix/R05-billing-success-light-1672x941.png; evidence/user-pages-matrix/R05-billing-success-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,支付完成 | dreamyo,按业务页面或fixture实体标题；不得混入旧品牌/UUID，动态页记录fixture值,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
R06,/canvas/[id],web/src/app/(user)/canvas/[id]/page.tsx,登录用户,T12,隔离fixture创建真实实体ID后进入详情；成功/空/失败/权限,Canvas 画布 | dreamyo,,,IN_PROGRESS,evidence/user-pages-matrix/R06-canvas-detail-light-1672x941.png; evidence/user-pages-matrix/R06-canvas-detail-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,Canvas 画布 | dreamyo,按业务页面或fixture实体标题；不得混入旧品牌/UUID，动态页记录fixture值,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
R07,/canvas,web/src/app/(user)/canvas/page.tsx,登录用户,T10,默认/输入或筛选/弹层/有效数据/空/加载/失败（按实际功能）,Canvas 项目 | dreamyo,我的画布,,IN_PROGRESS,evidence/user-pages-matrix/R07-canvas-light-1672x941.png; evidence/user-pages-matrix/R07-canvas-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,Canvas 项目 | dreamyo,按业务页面或fixture实体标题；不得混入旧品牌/UUID，动态页记录fixture值,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
R08,/community,web/src/app/(user)/community/page.tsx,登录用户,T15,默认/输入或筛选/弹层/有效数据/空/加载/失败（按实际功能）,作品广场 | dreamyo,灵感发现,,IN_PROGRESS,evidence/user-pages-matrix/R08-community-light-1672x941.png; evidence/user-pages-matrix/R08-community-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,作品广场 | dreamyo,按业务页面或fixture实体标题；不得混入旧品牌/UUID，动态页记录fixture值,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
R09,/create,web/src/app/(user)/create/page.tsx,登录用户,T08,默认/输入或筛选/弹层/有效数据/空/加载/失败（按实际功能）,创作工作台 | dreamyo,从灵感，到完整作品,,IN_PROGRESS,evidence/user-pages-matrix/R09-create-light-1672x941.png; evidence/user-pages-matrix/R09-create-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,创作工作台 | dreamyo,按业务页面或fixture实体标题；不得混入旧品牌/UUID，动态页记录fixture值,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
R10,/drama/[id],web/src/app/(user)/drama/[id]/page.tsx,登录用户,T16,隔离fixture创建真实实体ID后进入详情；成功/空/失败/权限,短剧生产 | dreamyo,剧本编辑,,IN_PROGRESS,evidence/user-pages-matrix/R10-drama-detail-light-1672x941.png; evidence/user-pages-matrix/R10-drama-detail-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,短剧生产 | dreamyo,按业务页面或fixture实体标题；不得混入旧品牌/UUID，动态页记录fixture值,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
