ID,任务,依赖,责任文件,状态,实际修改文件,测试命令和退出码,截图证据,测量证据,阻塞原因,V2.1新增要求
T00,冻结工作区和可恢复备份,,AGENTS.md;web/package.json;web/playwright.config.ts,PASS,docs/ui-rebuild-20260913/frontend-backup-20260913-201301/（web备份、工作区状态、差异补丁、SHA256）,rsync -a --delete（退出码0）；备份2082个文件；SHA256校验文件哈希2b9e1254821ca01338d2680602f71e51264927bc4053a3c381da350507cdbe8e,docs/ui-rebuild-20260913/frontend-backup-20260913-201301/worktree-status.txt;worktree-diff.patch;web-SHA256SUMS,HEAD 78fa27966eae9c1d50e1ee0e2d9dfcbd888dcf6d；仅备份web且保留当前工作区修改,,全部UI实施按C01全站配色；生成按钮按B01；验收增加A17
T01,建立当前8项失败基线,T00,web/e2e/support.ts;web/e2e/home.spec.ts;web/e2e/canvas.spec.ts;web/e2e/installation.spec.ts,PASS,docs/ui-rebuild-20260913/evidence/01-dark-logo-background.png;02-dark-composer-caret-text.png;03-canvas-toolbar-icon-mix.png;04-canvas-button-clipped.png;05-node-border-inset.png;06-light-background-haze.png;07-home-light-dark-panel.png;08-generation-button-reference.png,find evidence 01-08 与 manifest.json（退出码0）,evidence/01-08（before历史基线）,,这些截图只作为修复前基线不可当作after证据,全部UI实施按C01全站配色；生成按钮按B01；验收增加A17
T02,清点资源和所有生成调用点,T00,web/src/components/ui/dreamyo-icon.tsx;web/src/components/layout/site-logo.tsx;web/src/app/home/home-agent-hero.tsx;web/src/components/generation-action-button.tsx,PASS,web/src/components/ui/dreamyo-icon.tsx;web/src/components/layout/site-logo.tsx;web/src/app/home/home-agent-hero.tsx;web/src/components/generation-action-button.tsx;docs/ui-rebuild-20260913/调用点清单.csv,"rg -n ""GenerationActionButton|DreamyoIcon|particle-infinity|site-logo"" web/src（退出码0）",docs/ui-rebuild-20260913/调用点清单.csv,已完成调用链与资源清点，进入共用组件实施,,全部UI实施按C01全站配色；生成按钮按B01；验收增加A17
T03,B01生成按钮资源定稿,T02,web/public/brand/dreamyo/generation/（新增）,PASS,web/public/brand/dreamyo/generation/button-reference.png;button-surface.png;generate-glyph.png;manifest.json,shasum -a 256 web/public/brand/dreamyo/generation/*（退出码0）；透明度与边缘人工核验，glyph由B01最新源图裁切,docs/ui-rebuild-20260913/evidence/09-generation-button-v21.png,"button-surface alpha bbox=(41,15,1754,877)；generate-glyph alpha bbox=(18,18,164,161)；无棋盘格像素落盘",旧08不参与本次资源链；B01资源已定稿,全部UI实施按C01全站配色；生成按钮按B01；验收增加A17
T04,Logo透明资源与回退链,"T01,T02",web/src/components/layout/site-logo.tsx;web/src/components/layout/site-logo.test.tsx;web/src/app/home/home.module.css;web/public/brand/dreamyo/,PASS,web/src/components/layout/site-logo.tsx;web/src/components/layout/site-logo.test.tsx;web/public/brand/dreamyo/,pnpm vitest 目标测试（退出码0）；ui-rebuild 15/15（退出码0）,after-v21-home-light/dark-* 与 after-v21-create-light/dark-* 显示透明Logo,,默认/深色Logo实际合成与回退链已核对；后台自定义Logo持久化由T17/T19继续验收,全部UI实施按C01全站配色；生成按钮按B01；验收增加A17
T05,按C01重建语义配色并收敛样式所有权,T01,web/src/lib/app-theme.ts;web/src/lib/canvas-theme.ts;web/src/app/globals.css;web/src/app/styles/global-product-design.css;web/src/app/styles/global-generation-actions.css;web/src/app/styles/global-canvas-overrides.css,PASS,web/src/lib/app-theme.ts;web/src/lib/canvas-theme.ts;web/src/app/globals.css;web/src/app/styles/global-product-design.css;web/src/app/styles/global-generation-actions.css;web/src/app/styles/global-canvas-overrides.css,pnpm typecheck（退出码0）；pnpm build（退出码0）；目标回归（退出码0）,after-v21-home/create/canvas light/dark screenshots 与 measurement JSON,,C01语义令牌已接入共用入口；全站页面逐项证据由T14-T20继续记录,全部UI实施按C01全站配色；生成按钮按B01；验收增加A17
T06,实现生成按钮变体和状态,"T03,T05",web/src/components/generation-action-button.tsx;web/src/components/generation-action-button.test.ts;web/src/app/styles/global-generation-actions.css,PASS,web/src/components/generation-action-button.tsx;web/src/components/generation-action-button.test.ts;web/src/app/styles/global-generation-actions.css,pnpm vitest 目标测试（退出码0）；ui-rebuild 15/15（退出码0）,after-v21-home/create/canvas screenshots；B01资源manifest与哈希,,B01底板与白星独立资源；compact 40px 与 standard 44px 均由真实DOM测量,全部UI实施按C01全站配色；生成按钮按B01；验收增加A17
T07,背景资源与浅色轻动效,"T02,T05",web/src/app/home/home-agent-hero.module.css;web/src/app/home/home-agent-hero.tsx;web/src/app/(user)/create/create-studio.module.css;web/src/app/(user)/create/page.tsx,PASS,web/src/app/home/home-agent-hero.module.css;web/src/app/home/home-agent-hero.tsx;web/src/app/(user)/create/create-studio.module.css;web/src/app/(user)/create/page.tsx;web/public/brand/dreamyo/flow-light.png;flow-dark.png,当前BUILD_ID=mFCnh_sZTk02HCpXjVU2F：ui-rebuild 21/21（桌面/390/430，退出码0）；reduced-motion、资源404隐藏与motion trace/性能JSON均保存；生产build退出码0,"after-ui-rebuild-nSTS-20260914.log；after-v21-home-reduced-motion-{chromium,mobile-390,mobile-430}.png；after-v21-home-resource-fallback-{chromium,mobile-390,mobile-430}.png","after-v21-motion-{chromium,mobile-390,mobile-430}.json；三个JSON均记录buildId=nSTS_Kms_ikgtSS2hh3wH、route/theme/viewport、动画名和资源错误回退",,全部UI实施按C01全站配色；生成按钮按B01；验收增加A17；最新 aQB-g8MoX5r075GO9Zwkw：UI 专项21/21退出码0，生产构建日志 after-build-drama-motion-R9-20260915.log
T08,修复/create输入与所有弹层,"T05,T06,T07",web/src/app/(user)/create/create-studio.module.css;web/src/app/(user)/create/components/creative-composer.tsx;web/src/components/creative-composer-styles.ts,PASS,web/src/app/(user)/create/create-studio.module.css;web/src/app/(user)/create/components/creative-composer.tsx;web/src/components/creative-generation-controls.tsx;web/src/components/creative-generation-preferences.tsx,pnpm vitest 目标测试（退出码0）；responsive 19+35（退出码0）；ui-rebuild 15/15（退出码0）,after-v21-create-light/dark 1280/390/430 screenshots 与 measurement JSON,,已验证光标、文字、单行工具条、参数弹层向上展开、发送按钮无重叠,全部UI实施按C01全站配色；生成按钮按B01；验收增加A17
T09,首页浅色完整面板重建,"T04,T05,T06,T07",web/src/app/home/home-agent-hero.module.css;web/src/app/home/home-agent-hero.tsx;web/src/app/home/home-header.tsx;web/src/app/home/home.module.css;web/src/app/home/home-data.ts,PASS,web/src/app/home/home-agent-hero.module.css;web/src/app/home/home-agent-hero.tsx;web/src/app/home/home-header.tsx;web/src/app/home/home.module.css;web/src/app/home/home-data.ts,当前BUILD_ID=mFCnh_sZTk02HCpXjVU2F：home 18/18（setup 3 + home 15，桌面/390/430，退出码0）；ui-rebuild 21/21；生产build退出码0,after-home-button-nSTS-20260914.log；after-ui-rebuild-nSTS-20260914.log；after-v21-home-light/dark-* 与 measurement JSON,首页共享B01按钮含data-generation-action、单一glyph和生成文案；移动端隐藏文案保留glyph；点击未登录承接登录；当前BUILD_ID=nSTS_Kms_ikgtSS2hh3wH,C01浅色面板、背景和B01首页按钮已按真实页面渲染核对,全部UI实施按C01全站配色；生成按钮按B01；验收增加A17；最新 aQB-g8MoX5r075GO9Zwkw：首页15/15退出码0，主题切换3/3退出码0，证据 after-home-8AA-20260915.log
